algo n cmps swaps total
bubble 100 8811 2358 11169
insertion 100 2453 2358 4811
selection 100 4950 97 5047
quick 100 676 298 974
bubble 500 230538 57855 288393
insertion 500 58353 57855 116208
selection 500 124750 476 125226
quick 500 9139 1624 10763
bubble 1000 924075 239916 1163991
insertion 1000 240911 239916 480827
selection 1000 499500 954 500454
quick 1000 29399 3579 32978
bubble 5000 23745250 5790495 29535745
insertion 5000 5795491 5790495 11585986
selection 5000 12497500 4763 12502263
quick 5000 647495 16698 664193
bubble 10000 94890510 23504609 118395119
insertion 10000 23514604 23504609 47019213
selection 10000 49995000 9496 50004496
quick 10000 2552445 37945 2590390
bubble 20000 379681015 95083950 474764965
insertion 20000 95103948 95083950 190187898
selection 20000 199990000 19003 200009003
quick 20000 10119668 80823 10200491
bubble 30000 851821605 213578214 1065399819
insertion 30000 213608210 213578214 427186424
selection 30000 449985000 28499 450013499
quick 30000 22632855 102167 22735022
bubble 40000 1515642108 379297037 1894939145
insertion 40000 379337033 379297037 758634070
selection 40000 799980000 37929 800017929
quick 40000 40216177 155934 40372111
bubble 50000 2375802483 595458986 2971261469
insertion 50000 595508982 595458986 1190967968
selection 50000 1249975000 47518 1250022518
quick 50000 62756965 214921 62971886
